,No.,MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,X%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,BLI,CENT,ICR,Wap,MAXDN,LOC,X5v,Yindex,IC1,CIC1,CIC5,Chi_D/Dt,J_D/Dt,J_Dz(Z),SpPosA_Dz(e),SM1_Dz(e),ChiA_Dz(p),SpMax_B(m),SpMax_B(s),ATSC1m,ATSC1p,GATS7m,GATS8m,GATS6e,GATS7p,GATS7s,GATS8s,SpMax2_Bh(m),P_VSA_LogP_1,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_8,P_VSA_v_3,P_VSA_v_4,P_VSA_s_1,SpDiam_EA(bo),SpMax_AEA(dm),SM13_EA(dm),SM09_AEA(dm),Eig02_EA(dm),nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nArOH,nOHs,nROR,nArOR,nArX,C-005,C-006,C-011,C-019,C-026,C-028,C-034,H-046,H-048,H-049,H-051,H-052,H-053,O-060,O-061,N-075,F-083,SdCH2,SssCH2,StCH,StsC,SdssC,SaasC,SaaaC,SdNH,SsssN,StN,SaaNH,SaaO,SdsssP,SdS,SssS,SddssS,SsBr,NssssC,NsNH2,NdsN,CATS2D_04_DD,CATS2D_05_DD,CATS2D_07_DD,CATS2D_02_DA,CATS2D_04_DA,CATS2D_07_DA,CATS2D_01_DN,CATS2D_02_DL,CATS2D_01_AA,CATS2D_02_AA,CATS2D_03_AA,CATS2D_04_AA,CATS2D_05_AA,CATS2D_06_AA,CATS2D_07_AA,CATS2D_09_AA,CATS2D_05_AN,CATS2D_01_AL,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_03_PL,CATS2D_05_PL,CATS2D_06_PL,CATS2D_08_PL,CATS2D_03_NL,CATS2D_06_NL,CATS2D_09_NL,CATS2D_03_LL,CATS2D_08_LL,T(N..S),T(N..P),T(N..Cl),T(N..Br),T(N..I),T(O..F),T(O..Cl),T(O..Br),T(S..S),T(S..P),T(S..Cl),T(S..Br),T(P..F),T(P..Cl),T(P..Br),T(F..Cl),T(F..Br),T(F..I),T(Cl..Cl),T(Cl..Br),T(Cl..I),T(Br..Br),F02[C-P],F02[C-Si],F02[N-N],F02[N-S],F02[O-S],F03[C-Si],F03[C-X],F03[N-O],F03[O-F],F03[O-X],F03[Cl-Cl],F04[N-N],F04[N-O],F04[O-O],F04[O-S],F04[O-Cl],F05[N-N],F05[N-F],F05[O-S],F05[O-F],F05[O-Cl],F06[C-X],F06[N-F],F06[O-F],F06[O-Cl],F07[N-N],F07[N-O],F07[O-S],F07[O-F],F08[C-S],F08[C-Cl],F08[N-N],F08[O-F],F09[O-O],F09[O-F],F09[O-X],F10[N-N],F10[N-O],F10[O-O],MLOGP2,ALOGP2,BLTF96,Class,Label
170,171,871.29,6.093,1,1,0,0,0,0,0,32.9,0,9.8,0,6,6,0,2,0,0,0,0,0,0,0,0,0,1.08,10490,3.774,451323,3.279,0.88,8.888,0.316,2.562,4.598,0.59,1.636,15.4231,1.227,9.247,1.493,0.001,3.76,7.477,37.376,15.456,1.026,0.959,1.034,1.018,1.013,0.94,3.869,97.077,0,0,0,130.936,0,0,5.92,4.268,11.051,1.746,1.216,0,20,8,0,0,0,0,2,6,0,0,0,0,3,0,0,0,0,30,0,0,1,27,6,0,0,0,0,0,6.669,0,0,-0.899,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,4,5,3,1,9,0,0,2,3,0,2,1,0,0,0,20,20,15,0,0,0,0,1,0,1,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,4.204,23.667,-3.13,Antibacterial,0
82,83,482.29,9.1,1,1,2,0,0,2,2,26.4,3.8,22.6,3.8,3,6,2,0,0,2,0,0,0,0,0,0,0,0.97,1548,2.883,20268,3.489,1.967,2.824,0.734,3.519,2.209,0.42,2.544,20.3538,2.3265,4.261,1.538,0.003,4.267,7.425,14.585,4.721,0.706,0.792,0.943,0.965,1.02,1.236,3.933,18.40078477,10.07585933,12.86358422,11.05507456,103.231,0,0,5.779,4.373,11.73,-0.146,1.392,0,9,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,-0.101,0,0,-0.589,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,4,7,0,0,5,6,10,8,5,4,4,0,0,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,11,0,2,0,0,0,0,2,0,0,0,2,0,2,0,0,0,3,0,0,2,0,0,0,2,2,1.157,13.7689722,-0.48,Antibacterial,0
341,342,365.45,8.306,9,3,3,1,0,0,1,36.4,6.8,11.4,0,3,4,1,1,0,0,0,50.636,91.681,0,0,0,0,0.954,852,2.759,9786,2.723,0.898,3.378,0.652,3.897,1.562,0.625,1.846,12.4573,1.9238,4.398,1,0.008,4.031,7.477,8.686,4.186,1.03,1.198,1.154,0.981,0.993,1.203,3.875,17.65,11.771,0,32.22,101.28,0,0,6.775,4.952,11.772,-1,2.377,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,-1.999,0.562,0,0,1.31,0,0,0,0,0,1.353,0,0,1,1,0,0,0,1,2,0,1,1,3,0,1,1,0,3,0,0,0,0,0,1,3,2,2,0,1,2,3,0,2,2,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0.338,0.044,-1.88,Antibacterial,0
260,261,293.69,9.474,3,3,3,0,0,1,1,29,9.7,19.4,3.2,2,2,0,1,0,0,0,0,0,0,0,0,0,0.857,405,2.234,2906,2.76,1.091,1.196,1.063,3.865,1.089,0.065,1.865,12.4336,2.5851,3.096,1.132,0.011,3.806,7.446,5.089,2.06,1.137,1.812,0.991,0.962,1.11,1.279,3.734,0,66.628,0,38.81,59.594,0,0,6.154,3.858,7.034,-1.482,1.089,0,3,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-0.52,0,0,-1.697,0,0,0,0.871,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,2,2,0,0,0,2,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,3.06,8.02,0.1,Antibacterial,0
22,23,185.24,7.41,12,0,1,0,0,0,0,48,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.886,168,2.271,1407,0.926,0.544,0.769,0.877,2.202,2.442,0.72,2.006,10.0307,2.41,2.427,0.325,0.019,3.697,4.867,4.942,2.218,0.946,1.082,0.844,1.133,0.599,1.361,3.746,0,0,0,0,98.53,0,0,6.661,3.067,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.369,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.741,6.989,-3.75,Antibacterial,0
477,478,319.37,7.79,9,3,3,0,1,0,0,39,7.3,7.3,2.4,3,4,1,0,0,1,0,0,0,0,0,0,0,0.91,622,2.562,8930,2.967,0.982,2.116,0.814,3.639,1.719,0.653,2.463,15.3921,2.2395,3.471,0.903,0.01,3.929,8.201,7.962,3.574,1.36,1.149,1.381,0.957,1.41,1.035,3.694,8.825,26.731,0,0,74.403,0,0,7.24,3.787,0.104,-1,0.8,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,3,0,0,0,1,0,0,3,0,0,0,0,0,0,3.41,0,0,-2.29,0.603,0,0,3.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,4,0,1,0,0,0,0,8,3,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2.046,1.611,-2.61,Antibacterial,0
562,563,552.05,5.112,2,2,1,0,0,0,0,32.4,0.9,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.374,4851,4.106,8568,2.164,4.097,3.48,0.964,2.013,4.742,2.076,1,38,3.6792,11.427,0.63,0.002,3.435,7.427,27.12,11.527,0.999,1.016,1.152,0.98,1.107,1.225,3.66,17.65,0,0,0,109.74,0,0,5.335,3.6,8.374,0.618,0.765,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,58,0,0,2,0,0,0,0,0,0,0,33.975,0,0,-0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.789,141.6,-7.33,Antibacterial,0
183,184,706.29,7.514,18,12,1,0,0,1,1,41.5,1.1,9.6,1.1,3,7,5,0,0,1,0,0,0,0,0,0,0,0.962,3128,1.751,131919,2.602,0.639,3.762,0.556,3.895,2.66,0.346,3.128,40.6655,2.0955,6.79,1.272,0.003,4.081,7.442,18.993,9.493,1.036,1.11,1.132,1.057,0.986,0.961,3.83,52.951,0,39.149,0,252.017,0,0,7.491,3.896,0,1.166,1.058,0,5,3,12,2,0,1,3,0,0,0,0,0,0,2,1,0,0,18,0,0,2,5,0,0,0,0,0,0,0.012,0,0,-4.181,-1.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,9,0,0,0,0,3,2,0,1,0,0,7,11,13,0,0,0,0,0,0,0,27,27,0,0,3,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,3,0,0,0,1,4,6.708,25.718,-3.59,Antibacterial,0
480,481,478.92,8.552,11,5,2,0,0,1,1,39.3,3.6,14.3,1.8,4,10,3,0,0,3,0,0,0,0,0,0,0,0.871,1386,2.5,48037,4.174,0.998,4.577,0.837,4.181,1.626,0.433,3.598,25.9069,2.1547,4.044,1.241,0.007,3.993,7.452,10.449,5.261,1.406,0.943,1.251,0.934,1.35,0.822,3.88,25.618,39.919,0,39.919,122.108,0,0,7.338,4.458,9.246,0.122,1.408,0,2,4,1,2,0,1,0,0,0,0,2,0,1,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,-6.533,0.179,0,0,1.366,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,7,4,0,7,0,0,1,3,5,1,0,0,0,1,6,7,12,0,1,1,3,0,0,0,14,3,0,0,13,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,7,0,0,1,0,0,0,1,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,1,2,1.372,0.002,-0.39,Antibacterial,0
112,113,1025.42,6.409,6,6,0,0,0,0,0,33.8,0,11.3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1.041,13748,4.01,293448,3.128,0.752,7.155,0.33,3.018,4.304,1.432,1.646,20.8527,1.3741,10.662,1.694,0.001,3.659,7.435,40.202,16.818,1.005,1.015,0.923,1.102,0.975,1.011,3.849,105.902,23.542,0,0,212.021,0,0,6.13,3.895,0,1.879,1.674,0,18,4,8,0,2,0,6,6,0,0,0,0,0,0,0,0,0,28,2,0,0,14,4,2,0,0,0,0,1.335,0,0,-1.384,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,10,0,0,10,0,4,0,2,0,4,0,0,0,0,26,16,24,0,0,0,0,0,0,0,22,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,1.251,24.151,-2.34,Antibacterial,0
5,6,355.43,9.873,15,4,3,2,0,0,2,36.1,8.3,13.9,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1.096,717,2.91,4206,4.659,1.659,2.087,0.666,4.072,1.097,0.389,1.426,11.406,2.5635,4.314,1.026,0.009,4.716,7.716,6.602,3.68,0.901,0.885,1,1.051,0.684,0.837,4.162,0,11.771,0,31.278,107.178,0,5.807,7.707,4.686,11.117,-1,1.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,4,0,0,0,0,1,0,0,-0.42,0,0,-1.515,0.667,0,0,0,0,0,0,0,0,0,-3.742,0,0,0,0,0,1,0,5,0,0,1,5,0,1,0,2,1,0,0,0,0,0,3,6,2,0,0,0,0,0,2,0,2,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.314,0.529,-1.87,Antibacterial,0
111,112,451.66,6.452,10,4,1,0,0,0,0,40,1.4,5.7,0,4,7,2,1,1,0,0,0,0,0,84.159,112.78,0,1.005,1853,2.694,41152,2.504,0.648,4.637,0.725,3.586,2.543,0.432,3.412,24.5663,1.8747,4.666,0.753,0.007,3.816,7.427,16.764,7.454,0.999,1.146,1.253,1.004,1.134,1.25,3.814,26.476,0,0,0,146.208,0,0,7.01,4.262,8.374,0.314,1.023,1,5,5,4,1,0,0,2,0,0,0,0,0,1,0,0,0,0,10,0,0,0,9,0,0,0,0,0,4.206,1.881,0,0,0.455,1.106,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,1,1,1,0,10,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.872,9.907,-4.06,Antibacterial,0
554,555,315.43,8.088,13,3,3,1,0,0,1,41,7.7,5.1,0,3,4,1,1,1,0,0,0,0,0,89.429,0,0,0.989,586,2.738,8734,1.566,0.853,2.155,0.596,3.829,1.457,0.417,2.155,12.9283,2.2629,3.796,0.682,0.011,4.05,7.427,7.77,3.663,1.129,1.228,0.664,0.916,0.65,1.135,3.878,28.533,13.915,0,32.22,123.615,0,0,7.434,4.444,0,-1,0.86,0,0,0,1,2,0,0,0,0,1,0,1,1,0,1,1,1,1,6,1,0,0,0,0,1,0,1,0,0,0.665,0,0,2.537,1.621,1.841,0,0,0,3.266,0,0,0,1.564,0,0,0,0,0,0,1,0,1,2,1,0,4,0,0,0,0,1,0,1,0,0,0,6,5,2,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,6.242,-2.86,Antibacterial,0
244,245,412.43,9.165,11,5,2,1,1,0,1,37.8,4.4,15.6,2.2,4,8,3,0,0,3,37.882,0,0,0,0,0,122.178,0.976,1030,2.7,22425,5.489,1.375,2.634,0.666,4.269,1.223,0.506,2.708,16.7893,2.0674,3.939,1.219,0.007,4.695,8.201,9.177,4.762,0.975,1.229,1.008,0.813,1.058,1.091,4.076,8.825,50.273,0,0,80.31,0,1.339,7.451,5.049,0.054,-0.405,1.607,0,3,1,0,1,1,0,0,0,1,1,0,1,1,0,3,0,0,0,3,0,0,7,0,2,0,0,0,0,0.046,0,0,-2.551,-0.092,0,0,1.592,0,0,0,0,0,0,-4.572,0,1,1,0,0,0,0,2,1,3,1,3,0,2,3,5,3,0,6,0,0,0,8,5,3,0,1,0,0,0,1,1,2,0,17,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,2,1,0,1,1,0,1,0,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,0,0,3,0.235,0.056,-1.8,Antibacterial,0
90,91,326.33,7.959,3,3,0,0,0,0,0,36.6,0,19.5,0,4,10,3,4,0,0,0,0,0,143.692,0,134.187,0,0.87,619,1.845,16275,3.109,0.923,3.753,1.181,3.186,2.171,0.909,3.944,20.5069,2.1655,3.069,1.09,0.013,3.971,7.439,8.088,4.382,1.15,2.753,1.375,0.435,1.958,5.294,3.579,26.476,11.771,0,0,53.478,0,0,6.383,4.596,12.875,-1,2.443,3,4,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,9,1,0,2,0,2,3,0,0,0,0,-0.416,0,0,-2.357,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,4,0,0,4,0,4,0,4,3,3,1,0,0,0,8,7,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.285,-2.04,Antibacterial,0
219,220,467.6,6.777,0,0,5,0,0,0,0,26.1,7.2,13,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.949,1704,2.903,18888,2.774,0.931,3.016,0.65,3.063,3.046,0.377,1.795,15.2583,1.9833,5.067,1.363,0.004,3.593,6.295,18.038,5.729,1.055,0.947,0.937,1.232,1.084,0.835,3.763,0,23.542,0,0,7.894,0,0,5.222,3.593,0,0.066,1.392,0,14,0,0,0,0,0,4,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,-0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,1,2,0,2,4,0,4,0,2,0,1,0,2,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,4,0,0,1,5,0,20.338,47.057,2.44,Antibacterial,0
579,580,191.13,7.964,0,0,0,0,0,0,1,33.3,0,0,4.2,1,1,0,0,0,0,0,0,0,29.91,0,0,0,1.65,23,0.764,295,0.502,0.704,1.429,1.525,1.324,3.261,1.333,2.375,10.6862,2.2517,2.162,0.136,0.054,6.872,3.769,5.852,2.811,0,0,1.269,0,0,0,3.635,0,0,45.954,45.954,63.696,0,0,4.393,2.86,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,10.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.353,14.151,-4.25,Antibacterial,0
405,406,216.29,8.319,2,2,2,1,0,0,1,30.8,7.7,11.5,0,2,3,1,1,0,0,0,23.476,42.374,0,0,0,0,1.045,150,1.809,1348,2.62,1.068,2.469,1.524,3.295,1.405,0.75,2.317,11.5839,2.7518,2.433,0.735,0.025,4.029,7.477,5.604,2.597,0.477,0,1.36,0.019,1.081,0,3.476,17.65,11.771,0,32.22,55.484,0,0,5.762,4.95,11.662,-2,2.377,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,-1.203,0,0,0,1.387,0,0,0,0,0,1.465,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,2,0,1,2,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.167,-1.65,Antibacterial,0
500,501,345.2808313,8.366542441,9.546842757,2.289585913,1.709451094,0.285046086,0.255055716,0.334984179,0.847021599,37.30620443,4.196189297,9.110716742,2.161342688,2.333608474,4.659100289,1.043197139,0.460723621,0.234144999,0.405695419,1.609483285,2.033524144,3.725298666,4.984415188,22.25553075,6.76437653,4.979705874,1.118070622,1996.625378,2.445067988,499789.613,2.572476957,1.370970548,4.434758673,1.067679186,3.104638602,2.134410648,0.726568441,2.021384753,14.54163358,2.78577651,4.090693252,0.635739064,-0.205801432,4.20480033,7.086812302,10.26577452,12.08728353,1.004445316,0.931106755,1.010017244,0.909232219,1.034456447,0.948906426,3.791932315,18.40078477,10.07585933,12.86358422,11.05507456,107.7643159,1.104822269,0.8148919,6.642206688,3.884096051,6.011235861,-0.476326132,1.003023256,0.213234283,1.820470491,0.570367313,0.694593479,0.299215848,0.216535975,0.185995323,0.321914981,0.316824873,0.298803137,0.285596368,0.519878938,1.241848948,0.179391938,0.145136883,1.226441051,0.1553171,0.140046774,5.638602284,0.325629385,0.193974412,0.952538176,2.594992434,0.330857064,0.695969184,0.091071674,0.307470078,0.120374192,0.143184482,2.461997936,0.046268813,0.104573807,-0.411509286,1.163202641,0.191441601,0.091885129,0.63669308,0.271796396,0.14848301,0.121856927,-0.160428395,0.135690191,0.145446416,-0.463902875,0.116303481,0.488375292,0.174714541,0.146512588,0.239922961,0.188746733,0.192048425,0.830100426,0.82569817,0.567340762,0.198101527,1.642866969,0.253129729,1.467877287,0.81730637,0.930114184,1.058880176,1.119411198,0.689916082,0.60764892,0.096987206,0.065208419,3.891456872,4.721694869,4.13069198,0.134406383,0.115008942,0.126427294,0.096299353,0.155454671,0.145136883,0.134406383,8.710551658,4.629109919,7.233319576,0.432934379,4.383133856,0.417664053,0.201403219,5.962993534,6.501719631,0.531847572,0.959691842,0.045673408,0.419865181,0.026826248,0.029577659,0.085293713,0.013069198,0.614114734,0.035630761,0.035630761,1.204154629,0.044847985,0.009767506,0.064795708,0.102902738,0.037556748,0.428669693,0.116247077,0.083230155,0.030815793,0.100976751,0.761727886,0.05998074,0.091071674,0.050625946,0.298527996,0.750859816,0.949374054,0.131379832,0.089558399,0.180217361,0.075801348,0.161370202,0.072637227,0.130141698,0.143761178,0.060118311,0.086531848,0.111982391,0.13082955,0.525656899,0.108405558,0.090934104,0.302792681,0.375842619,0.124638877,0.061218875,0.729811528,0.062044298,0.059705599,0.105654148,0.337460448,0.579722108,8.984637364,13.7689722,-3.125623882,Antibacterial,0
398,399,378.43,7.723,13,1,4,0,0,0,0,34.7,8.2,12.2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.851,1203,2.908,7318,2.754,1.738,1.47,0.761,3.868,1.746,0.454,1.572,14.6722,2.5384,4.327,1.109,0.006,3.833,7.477,10.057,3.929,0.697,1.031,0.88,0.917,0.497,0.941,3.782,30.591,27.769,0,0,95.014,0,0,7.114,3.768,11.508,-0.515,1.393,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,3,0,0,2,2,1,0,3,0,3,0,2,0,0,0.124,0,0,-1.087,2.961,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,1,2,1,1,0,2,3,1,2,1,4,3,0,0,5,7,3,1,3,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,1,0,0.865,2.079,-2.18,Antibacterial,0
494,495,406.43,7.969,10,4,2,0,0,0,0,37.3,3.9,15.7,0,3,4,3,0,0,0,0,0,0,246.779,0,0,0,0.857,1298,2.862,10980,3.646,0.68,2.062,0.689,3.972,1.701,0.407,1.805,13.9907,1.9876,4.589,1.178,0.005,3.822,7.438,9.911,4.672,0.984,0.948,1.239,1.051,0.98,0.935,3.847,8.825,0,0,0,106.664,0,0,6.963,4.436,11.752,-0.503,2.123,0,3,0,0,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,3.568,-0.858,0,0,-2.896,0.227,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,1,3,4,1,0,3,0,1,1,1,2,1,2,1,0,0,3,7,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.047,0.183,-1.21,Antibacterial,0
182,183,514.43,8.433,14,2,4,0,0,2,2,36.1,6.6,9.8,3.3,3,6,2,0,0,2,0,0,0,0,0,0,0,1.013,2540,3.217,30601,2.223,2.333,2.739,0.613,3.762,2.168,0.885,2.337,21.0346,2.045,5.631,1.239,0.004,4.263,7.436,16.481,5.423,0.998,0.932,1.046,1.115,1.116,1.075,4.075,18.40078477,10.07585933,12.86358422,11.05507456,153.24,0,0,7.517,3.851,0,0.451,0.4,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.396,0,0,-1.11,-0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,2,0,8,0,0,0,0,1,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,6,0,0,0,80,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,2,2,0.005,13.7689722,-1.45,Antibacterial,0
